,url,Available as of,Available date,Construction year,Floor,Number of floors,Building condition,Street frontage width,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Armored door,Terrace,Elevator,Accessible for disabled people,Swimming pool,Primary energy consumption,Energy class,Unnamed: 31,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Tenement building,Address,Website,External reference,Covered parking spaces,As built plan,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Neighbourhood or locality,Outdoor parking spaces,Virtual visit,Office surface,Office,Intercom,Total ground floor buildable,Cadastral income,Garden surface,Visio phone,Terrace surface,TV cable,Thermic solar panels,Garden,Garden orientation,Photovoltaic solar panels,Property name,Conformity certification for fuel tanks,Monthly charges,Dining room,Basement surface,Attic surface,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water & electricity",Secure access / alarm,Living room,Caretaker,Obligation to build,Bedroom 5 surface,Professional space surface,Attic,Agent's name,Dressing room,How many fireplaces?,Laundry room,Terrace orientation,Common water heater,E-level (overall energy performance),Isolated,Professional space,Land is facing street,Wooded land,Plot at rear,Flat land,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Type of building,Number of annexes,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,EPC description,Extra information,Value of the property,Sea view,Current monthly revenue,Age of annuitants,Venue of the sale,Single session,Terms of visit,Starting price,Percentage rented
20,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/anderlecht/1070/10558130,At delivery,March 31 2024 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,25  kWh/m²  kilowatt hour per square meters,A,,B,25 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5338853,57.0,,Yes,Yes,No,No,,,Bruxelles,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/auderghem/1160/10558051,At delivery,October 31 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,42  kWh/m²  kilowatt hour per square meters,A,,Not specified,20 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5338852,1.0,,Yes,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/auderghem/1160/10557478,At delivery,September 30 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,40  kWh/m²  kilowatt hour per square meters,A,,1,10 kg CO₂/m²,Not specified,,,,No,Boulevard de la Woluwe 62 boîte 3 1200  - Woluwe-St-Lambert,http://www.latouretpetit.be,5339622,,,,,,,,,1 - Bruxelles Est,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10558397,At delivery,May 1 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,44  kWh/m²  kilowatt hour per square meters,A,,Not specified,44 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5339347,50.0,,,,,,Non flood zone,,Bruxelles,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10558285,At delivery,February 28 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,44  kWh/m²  kilowatt hour per square meters,A,,Not specified,44 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5339257,,,,,,,Non flood zone,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10558449,At delivery,May 1 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,44  kWh/m²  kilowatt hour per square meters,A,,Not specified,44 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5339415,,,,,,,Non flood zone,,Bruxelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10558265,At delivery,February 1 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,44  kWh/m²  kilowatt hour per square meters,A,,Not specified,44 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5339254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen/9500/10557395,At delivery,January 15 2024 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Sint-Denijslaan 1 9000  - Gent,http://www.immodavinci.be,5339892,1.0,,Yes,Yes,No,No,Possible flood zone,,Oost-Vlaanderen,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10558362,At delivery,February 28 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,45  kWh/m²  kilowatt hour per square meters,A,,Not specified,45 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5339298,23.0,,,,,,Non flood zone,,Bruxelles,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/zwevegem/8550/10567607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,"Roterijstraat, 202 8793  - Waregem",http://www.immobeguin.be/,19012 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
