,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Swimming pool,Energy class,Heating type,Price,Address,Flood zone type,Garden surface,Terrace surface,Garden
0,Good,3.0,Isolated,212  m² square meters,60  m² square meters,Installed,4.0,2.0,2.0,2.0,Yes,No,Yes,Yes,No,F,Gas,"€ 730,000  730000 €",9 rue Berckmans 1060  - Saint-Gilles,,,,
1,Good,2.0,,258  m² square meters,,Hyper equipped,2.0,1.0,,2.0,,Yes,Yes,,,A,Gas,"€ 775,000  775000 €",Mechelsesteenweg 382 3020  - Herent,Non flood zone,,,
2,Good,4.0,Urban,94  m² square meters,34  m² square meters,Installed,2.0,1.0,1.0,1.0,Yes,No,Yes,No,No,E,Gas,"Make an offer starting from  € 99,000  Make an offer starting from  99000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,,,
3,Good,3.0,Isolated,212  m² square meters,60  m² square meters,Installed,4.0,2.0,2.0,2.0,Yes,No,Yes,Yes,No,F,Gas,"€ 730,000  730000 €",9 rue Berckmans 1060  - Saint-Gilles,,,,
4,Good,2.0,Isolated,111  m² square meters,30  m² square meters,Installed,3.0,1.0,1.0,1.0,Yes,No,,Yes,No,B,Gas,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,200  m²  square meters,,
5,As new,2.0,Urban,96  m² square meters,27  m² square meters,Hyper equipped,2.0,1.0,,1.0,Yes,No,,Yes,No,A,,"€ 320,000  320000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,16  m²  square meters,
6,As new,2.0,Urban,99  m² square meters,34  m² square meters,Hyper equipped,2.0,1.0,,1.0,Yes,No,,Yes,No,A,,"€ 390,000  390000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,12  m²  square meters,
7,As new,2.0,Urban,43  m² square meters,27  m² square meters,USA hyper equipped,,1.0,1.0,1.0,Yes,No,,Yes,No,C,Gas,"€ 180,000  180000 €",Parvis Sainte-Alix 37 1150  - Woluwe-Saint-Pierre,Non flood zone,,5  m²  square meters,
8,Good,2.0,"Living area (residential, urban or rural)",110  m² square meters,51  m² square meters,Installed,2.0,1.0,,1.0,,No,Yes,,,C,Gas,"€ 230,000  230000 €",Zuidlaan 72 9230  - Wetteren,Non flood zone,,,Yes
9,To be done up,2.0,Countryside,80  m² square meters,,Installed,1.0,1.0,,1.0,,,,,,B,Fuel oil,"€ 220,000  220000 €",Tussenbruggen 9 9700  - Oudenaarde,Non flood zone,,14  m²  square meters,Yes
