,Construction year,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Accessible for disabled people,Swimming pool,Energy class,Heating type,Double glazing,Price,Address,Covered parking spaces,Flood zone type,Neighbourhood or locality,Outdoor parking spaces,Garden surface,Terrace surface,Garden,Monthly charges
0,1954.0,Good,3.0,Isolated,212  m² square meters,60  m² square meters,Installed,12  m² square meters,4.0,2.0,2.0,2.0,Yes,No,Yes,Yes,Yes,No,F,Gas,Yes,"€ 730,000  730000 €",9 rue Berckmans 1060  - Saint-Gilles,,,,,,,,
1,2010.0,Good,2.0,,258  m² square meters,,Hyper equipped,,2.0,1.0,,2.0,,Yes,Yes,,,,A,Gas,Yes,"€ 775,000  775000 €",Mechelsesteenweg 382 3020  - Herent,2.0,Non flood zone,,,,,,
2,2010.0,Good,4.0,Urban,94  m² square meters,34  m² square meters,Installed,34  m² square meters,2.0,1.0,1.0,1.0,Yes,No,Yes,No,No,No,E,Gas,Yes,"Make an offer starting from  € 99,000  Make an offer starting from  99000 €",Rue de la Wallonie 2A 4680  - Oupeye,1.0,Non flood zone,Liège environs,1.0,,,,
3,1954.0,Good,3.0,Isolated,212  m² square meters,60  m² square meters,Installed,12  m² square meters,4.0,2.0,2.0,2.0,Yes,No,Yes,Yes,Yes,No,F,Gas,Yes,"€ 730,000  730000 €",9 rue Berckmans 1060  - Saint-Gilles,,,,,,,,
4,2005.0,Good,2.0,Isolated,111  m² square meters,30  m² square meters,Installed,7  m² square meters,3.0,1.0,1.0,1.0,Yes,No,,Yes,Yes,No,B,Gas,,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",Rue de la Wallonie 2A 4680  - Oupeye,,Non flood zone,Oupeye,1.0,200  m²  square meters,,,
5,2022.0,As new,2.0,Urban,96  m² square meters,27  m² square meters,Hyper equipped,7  m² square meters,2.0,1.0,,1.0,Yes,No,,Yes,No,No,A,,Yes,"€ 320,000  320000 €",Sint-Denijslaan 1 9000  - Gent,,Non flood zone,Gent en omstreken,101.0,,16  m²  square meters,,
6,2022.0,As new,2.0,Urban,99  m² square meters,34  m² square meters,Hyper equipped,,2.0,1.0,,1.0,Yes,No,,Yes,No,No,A,,Yes,"€ 390,000  390000 €",Sint-Denijslaan 1 9000  - Gent,,Non flood zone,Gent en omstreken,101.0,,12  m²  square meters,,
7,2017.0,As new,2.0,Urban,43  m² square meters,27  m² square meters,USA hyper equipped,,,1.0,1.0,1.0,Yes,No,,Yes,Yes,No,C,Gas,Yes,"€ 180,000  180000 €",Parvis Sainte-Alix 37 1150  - Woluwe-Saint-Pierre,,Non flood zone,,1.0,,5  m²  square meters,,
8,1947.0,Good,2.0,"Living area (residential, urban or rural)",110  m² square meters,51  m² square meters,Installed,33  m² square meters,2.0,1.0,,1.0,,No,Yes,,,,C,Gas,Yes,"€ 230,000  230000 €",Zuidlaan 72 9230  - Wetteren,,Non flood zone,,,,,Yes,
9,2002.0,To be done up,2.0,Countryside,80  m² square meters,,Installed,,1.0,1.0,,1.0,,,,,,,B,Fuel oil,Yes,"€ 220,000  220000 €",Tussenbruggen 9 9700  - Oudenaarde,1.0,Non flood zone,,1.0,,14  m²  square meters,Yes,€ 110  110 €
10,2001.0,Good,2.0,,125  m² square meters,,Semi equipped,,2.0,1.0,,1.0,,,Yes,,,,B,Gas,Yes,"€ 219,000  219000 €",Grote Markt 35 9600  - Ronse,,Non flood zone,,,,,,
11,1979.0,Good,2.0,Urban,84  m² square meters,27  m² square meters,Installed,9  m² square meters,2.0,1.0,,1.0,,No,,Yes,Yes,No,B,Gas,Yes,"€ 159,000  159000 €",Stationstraat 30 9600  - Ronse,,Non flood zone,Vlaamse Ardennen,,,12  m²  square meters,,
12,2022.0,As new,2.0,Urban,63  m² square meters,38  m² square meters,Hyper equipped,,1.0,1.0,,1.0,Yes,No,,Yes,Yes,No,A,,Yes,"€ 230,000  230000 €",Sint-Denijslaan 1 9000  - Gent,10.0,Non flood zone,Gent en omstreken,101.0,,10  m²  square meters,,
13,1927.0,Good,2.0,Isolated,76  m² square meters,15  m² square meters,Semi equipped,13  m² square meters,1.0,1.0,1.0,1.0,Yes,No,,No,No,No,E,Gas,Yes,"€ 230,000  230000 €","Avenue des Cerisiers, 95 1200  - Woluwe-St-Lambert",,,Bruxelles Est,,,2  m²  square meters,,€ 33  33 €
14,2022.0,As new,2.0,Urban,63  m² square meters,38  m² square meters,Hyper equipped,,1.0,1.0,,1.0,Yes,No,,Yes,Yes,No,A,,Yes,"€ 245,000  245000 €",Sint-Denijslaan 1 9000  - Gent,10.0,Non flood zone,Gent en omstreken,101.0,,10  m²  square meters,,
15,1918.0,Good,3.0,Isolated,185  m² square meters,35  m² square meters,Installed,12  m² square meters,4.0,1.0,1.0,2.0,,No,,No,No,No,G,Gas,Yes,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",Rue de la Wallonie 2A 4680  - Oupeye,1.0,Non flood zone,Oupeye,,,72  m²  square meters,,
16,2012.0,Good,2.0,Urban,78  m² square meters,16  m² square meters,Installed,15  m² square meters,1.0,1.0,,1.0,,No,,No,No,No,B,Gas,Yes,"€ 235,000  235000 €",Sint-Denijslaan 1 9000  - Gent,,Non flood zone,Oost-Vlaanderen,,,,,
17,2017.0,As new,2.0,Urban,52  m² square meters,,Hyper equipped,,1.0,1.0,,1.0,Yes,No,,Yes,Yes,No,B,Gas,Yes,"€ 245,000  245000 €",Sint-Denijslaan 1 9000  - Gent,,Non flood zone,Oost-Vlaanderen,,,10  m²  square meters,,
18,1862.0,Good,2.0,Isolated,125  m² square meters,25  m² square meters,Installed,10  m² square meters,4.0,1.0,1.0,1.0,Yes,No,,No,No,No,F,Fuel oil,,"€ 244,000  244000 €",Place Merlot 6 4100  - Seraing,2.0,Non flood zone,Grand Liège,4.0,28  m²  square meters,108  m²  square meters,,
19,1965.0,To renovate,,,110  m² square meters,32  m² square meters,Semi equipped,6  m² square meters,3.0,1.0,,1.0,,,,Yes,,,C,Fuel oil,Yes,"€ 249,000  249000 €",Prins Boudewijnlaan 122 2610  - Wilrijk,1.0,,,,,6  m²  square meters,,€ 200  200 €
20,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,57.0,,Bruxelles,57.0,,,,
21,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,1.0,,,30.0,,,,
22,,,,,,,,,,,,,,,,,,,A,,,,Boulevard de la Woluwe 62 boîte 3 1200  - Woluwe-St-Lambert,,,1 - Bruxelles Est,,,,,
23,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,50.0,Non flood zone,Bruxelles,50.0,,,,
24,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,,Non flood zone,,43.0,,,,
25,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,,Non flood zone,Bruxelles,,,,,
26,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,,,,,,,,
27,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,1.0,Possible flood zone,Oost-Vlaanderen,1.0,,,,
28,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,23.0,Non flood zone,Bruxelles,23.0,,,,
29,,,,,,,,,,,,,,,,,,,Not specified,,,,"Roterijstraat, 202 8793  - Waregem",,,,,,,,
30,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,,,Bruxelles,52.0,,,,
31,,,,,,,,,,,,,,,,,,,Not specified,,,,Brusselsesteenweg 690 9050  - Gentbrugge,,Non flood zone,,2.0,,,,
32,,,,,,,,,,,,,,,,,,,Not specified,,,,Stationstraat 31 8790  - Waregem,,,,,,,,
33,,,,,,,,,,,,,,,,,,,Not specified,,,,Theofiel De Biestraat 11 2220  - Heist-op-den-Berg,,Non flood zone,,,,,,
34,,,,,,,,,,,,,,,,,,,Not specified,,,,Brusselsesteenweg 690 9050  - Gentbrugge,,Non flood zone,,2.0,,,,
35,,,,,,,,,,,,,,,,,,,A,,,,Sint-Denijslaan 1 9000  - Gent,10.0,Non flood zone,Gent en omstreken,101.0,,,,
