,id,building_type,building_subtype,price,living_area,frontages,bedrooms,bathrooms,liv_room_surf,kitchen_type,showers,toilets,basement,terrace,garden,elevator,swimming_pool,status_build,furnished,energy_class,heating,flood_zone,surroundings,zipcode,municipality,group_zipcode,province,price_per_m2
1652,10560962,apartment,flat-studio,395000.0,48.0,,,1.0,22.0,2.0,1.0,1.0,1.0,32.0,0.0,1.0,0.0,3.0,0.0,6.0,,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,8229.166666666666
2236,9899433,apartment,apartment,595000.0,99.0,2.0,1.0,1.0,,,1.0,2.0,,9.0,0.0,1.0,,,0.0,7.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,6010.10101010101
3301,10427382,apartment,apartment-block,620000.0,315.0,3.0,7.0,5.0,,,2.0,4.0,,14.0,0.0,0.0,1.0,1.0,0.0,5.0,,,"Living area (residential, urban or rural)",1000,Bruxelles,1000,Brussels Capital Region,1968.2539682539682
2225,10011499,apartment,duplex,460000.0,147.0,2.0,3.0,1.0,56.0,3.0,1.0,2.0,,52.0,0.0,1.0,,,,5.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3129.2517006802723
3315,10393289,apartment,apartment-block,670000.0,234.0,2.0,5.0,3.0,,1.0,3.0,3.0,,0.0,30.0,,,0.0,0.0,3.0,,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,2863.2478632478633
2216,10467827,apartment,apartment,400000.0,87.0,2.0,2.0,1.0,30.0,3.0,1.0,2.0,1.0,7.0,0.0,1.0,0.0,3.0,0.0,6.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,4597.701149425287
1237,10522169,apartment,apartment-block,450000.0,200.0,2.0,4.0,2.0,35.0,0.0,3.0,3.0,1.0,7.0,15.0,0.0,0.0,1.0,0.0,1.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,2250.0
3321,10559843,apartment,apartment,268000.0,65.0,3.0,1.0,1.0,25.0,2.0,,1.0,1.0,3.0,0.0,1.0,,1.0,,1.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,4123.076923076923
6480,10561426,apartment,apartment,415000.0,90.0,4.0,2.0,1.0,,3.0,1.0,1.0,,14.0,0.0,1.0,0.0,3.0,0.0,7.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,4611.111111111111
4831,9520493,other-property,mixed-use-building,3200000.0,1038.0,2.0,,,,1.0,,8.0,,0.0,12.0,0.0,0.0,2.0,0.0,1.0,Fuel oil,,,1000,Bruxelles,1000,Brussels Capital Region,3082.8516377649325
2153,10537458,apartment,flat-studio,295000.0,52.0,2.0,,1.0,19.0,,,1.0,,0.0,0.0,1.0,0.0,3.0,1.0,5.0,Gas,,Isolated,1000,Bruxelles,1000,Brussels Capital Region,5673.076923076923
1212,10522168,other-property,mixed-use-building,625000.0,174.0,2.0,3.0,2.0,20.0,1.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,4.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,3591.9540229885056
3386,10326532,other-property,mixed-use-building,1299000.0,526.0,3.0,5.0,2.0,,3.0,2.0,2.0,,9.0,0.0,0.0,0.0,2.0,0.0,2.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,2469.5817490494296
4783,10553687,apartment,apartment,350000.0,92.0,3.0,2.0,1.0,27.0,3.0,1.0,1.0,1.0,24.0,0.0,1.0,0.0,2.0,0.0,4.0,,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,3804.3478260869565
370,10565158,house,house,280000.0,75.0,2.0,4.0,4.0,,1.0,,4.0,1.0,0.0,0.0,,,1.0,0.0,4.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3733.3333333333335
369,10467828,apartment,apartment,600000.0,117.0,2.0,3.0,1.0,33.0,3.0,1.0,2.0,1.0,7.0,0.0,1.0,0.0,3.0,0.0,7.0,Gas,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,5128.205128205128
3396,10538487,apartment,loft,550000.0,230.0,2.0,2.0,2.0,,3.0,,2.0,,13.0,0.0,1.0,0.0,3.0,,5.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,2391.304347826087
4763,9201553,apartment,apartment,489000.0,65.0,,1.0,1.0,30.0,3.0,,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,7523.076923076923
1297,9402335,other-property,mixed-use-building,1200000.0,568.0,2.0,3.0,3.0,,1.0,,5.0,1.0,0.0,0.0,,,3.0,,1.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,2112.676056338028
2113,10535919,apartment,apartment,590000.0,117.0,,2.0,1.0,37.0,3.0,,,,0.0,0.0,1.0,,3.0,,4.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,5042.735042735043
361,10476012,apartment,penthouse,1495000.0,192.0,4.0,3.0,2.0,,3.0,1.0,2.0,1.0,122.0,0.0,1.0,0.0,3.0,0.0,6.0,Gas,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,7786.458333333333
360,9910183,apartment,apartment,540000.0,132.0,,3.0,2.0,,3.0,2.0,2.0,1.0,15.0,0.0,1.0,0.0,3.0,0.0,7.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,4090.909090909091
356,9908113,apartment,apartment,525000.0,132.0,,3.0,2.0,,3.0,2.0,2.0,1.0,15.0,0.0,1.0,0.0,3.0,0.0,7.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3977.2727272727275
2130,10427707,apartment,apartment,172500.0,72.0,2.0,2.0,1.0,30.0,2.0,1.0,1.0,,0.0,0.0,,,1.0,0.0,3.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,2395.8333333333335
355,9910182,apartment,apartment,515000.0,132.0,,3.0,2.0,,3.0,2.0,2.0,1.0,15.0,0.0,1.0,0.0,3.0,0.0,7.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3901.5151515151515
4994,10512483,apartment,apartment,229000.0,58.0,,1.0,2.0,,1.0,2.0,2.0,,0.0,0.0,,,2.0,,4.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,3948.2758620689656
3238,10433751,house,house,420000.0,102.0,2.0,2.0,1.0,35.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,4117.64705882353
6287,10493906,apartment,loft,525000.0,160.0,3.0,2.0,2.0,58.0,3.0,1.0,2.0,,25.0,0.0,1.0,0.0,3.0,0.0,5.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,3281.25
6288,10066049,apartment,apartment,500000.0,79.0,2.0,1.0,1.0,,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,6329.113924050633
6291,10336522,apartment,apartment,525000.0,120.0,3.0,2.0,1.0,,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,Fuel oil,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,4375.0
7747,9389469,house,house,1950000.0,300.0,2.0,4.0,3.0,50.0,0.0,3.0,5.0,1.0,30.0,50.0,0.0,0.0,1.0,,1.0,,,,1000,Bruxelles,1000,Brussels Capital Region,6500.0
5099,10474367,apartment,penthouse,450000.0,91.0,2.0,2.0,2.0,16.0,3.0,,2.0,1.0,5.0,0.0,1.0,0.0,3.0,1.0,3.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,4945.054945054945
6294,10326267,apartment,apartment,535000.0,140.0,2.0,2.0,2.0,50.0,3.0,2.0,2.0,1.0,12.0,0.0,1.0,0.0,3.0,1.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,3821.4285714285716
8657,10547950,other-property,mixed-use-building,485000.0,200.0,2.0,2.0,1.0,,3.0,1.0,2.0,1.0,0.0,0.0,,,0.0,,2.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,2425.0
6297,10537262,apartment,apartment,559000.0,102.0,2.0,2.0,2.0,,3.0,,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,5480.392156862745
5094,10226183,apartment,duplex,425000.0,110.0,2.0,2.0,3.0,26.0,2.0,,3.0,,30.0,0.0,1.0,0.0,2.0,0.0,1.0,Electric,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,3863.6363636363635
6307,9805695,apartment,duplex,595000.0,180.0,4.0,3.0,1.0,75.0,3.0,1.0,2.0,,70.0,0.0,1.0,,3.0,,5.0,Fuel oil,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,3305.5555555555557
6359,10195428,apartment,apartment,1850000.0,500.0,3.0,4.0,4.0,1.0,1.0,,1.0,,1.0,0.0,1.0,1.0,3.0,0.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,3700.0
